Transaction_Date,Transaction_Amount,Transaction_Category,Transaction_Type,Income_source,Merchant,Location,Current_Amount,Credit/Debit
2022-05-01,181.15,Personal Care,Prepaid Debit Cards,None,ATM Withdrawal,delhi,1240650.62,Debit
2022-05-01,95.23,Taxes,Mobile Payments,None,Taxi Service,nagpur,1240555.4,Debit
2022-05-01,385.11,Part-Time Work,Cash,Other,Gas Station,thane,1240940.5,Credit
2022-05-01,670.12,Taxes,Online Banking,None,Gym Membership,pune,1240270.38,Debit
2022-05-02,707.22,Personal Care,Prepaid Debit Cards,None,Taxi Service,satara,1239563.17,Debit
2022-05-02,970.17,Insurance,Prepaid Debit Cards,None,Car Repair Shop,delhi,1238593.0,Debit
2022-05-02,760.92,Charitable Donations,Debit Card,None,Local Farmers' Market,mumbai,1237832.08,Debit
2022-05-02,605.29,Charitable Donations,Debit Card,None,Local Farmers' Market,solapur,1237226.79,Debit
2022-05-02,252.45,Taxes,Prepaid Debit Cards,None,Gym Membership,satara,1236974.34,Debit
2022-05-03,95.88,Social Security,Cash,Investments,Electronics Store,mumbai,1237070.21,Credit
2022-05-03,814.24,Debt Payments,Mobile Payments,None,Rent Payment,satara,1236255.97,Debit
2022-05-04,803.59,Part-Time Work,Cash,Business,Clothing Boutique,delhi,1237059.56,Credit
2022-05-04,914.35,Part-Time Work,Credit Card,Other,Healthcare Provider,mumbai,1237973.91,Credit
2022-05-04,983.63,Savings and Investments,Credit Card,Business,Utility Company,delhi,1238957.54,Credit
2022-05-04,671.8,Part-Time Work,Cash,Other,Electronics Store,satara,1239629.34,Credit
2022-05-05,303.79,Miscellaneous Expenses,Mobile Payments,None,Bookstore,pune,1239325.55,Debit
2022-05-05,565.93,Insurance,Online Banking,None,Coffee Shop,solapur,1238759.63,Debit
2022-05-05,700.64,Pension Plans,Credit Card,Other,Subscription Service,nagpur,1239460.27,Credit
2022-05-05,218.94,Insurance,Prepaid Debit Cards,None,Taxi Service,nagpur,1239241.32,Debit
2022-05-06,465.01,Part-Time Work,Credit Card,Investments,Restaurant,solapur,1239706.33,Credit
2022-05-06,696.51,Charitable Donations,Online Banking,None,ATM Withdrawal,satara,1239009.83,Debit
2022-05-06,932.68,Miscellaneous Expenses,Prepaid Debit Cards,None,ATM Withdrawal,thane,1238077.15,Debit
2022-05-06,838.89,Pension Plans,Cash,Salary,Travel Agency,nagpur,1238916.04,Credit
2022-05-06,609.13,Charitable Donations,Checks,None,ATM Withdrawal,solapur,1238306.91,Debit
2022-05-06,408.08,Savings and Investments,UPI,Investments,Healthcare Provider,nagpur,1238714.99,Credit
2022-05-07,557.17,Insurance,Mobile Payments,None,Bookstore,thane,1238157.82,Debit
2022-05-07,810.17,Savings and Investments,UPI,Salary,Gas Station,mumbai,1238967.99,Credit
2022-05-08,919.01,Taxes,Mobile Payments,None,Taxi Service,pune,1238048.98,Debit
2022-05-08,942.96,Charitable Donations,Prepaid Debit Cards,None,Local Farmers' Market,thane,1237106.02,Debit
2022-05-09,786.61,Debt Payments,Checks,None,Bookstore,nagpur,1236319.41,Debit
2022-05-09,848.01,Insurance,Mobile Payments,None,Bookstore,mumbai,1235471.4,Debit
2022-05-09,302.61,Consulting or Freelancing,Cash,Investments,Utility Company,satara,1235774.01,Credit
2022-05-09,851.95,Personal Care,Checks,None,Gym Membership,satara,1234922.05,Debit
2022-05-09,802.53,Savings and Investments,Credit Card,Salary,Electronics Store,satara,1235724.58,Credit
2022-05-09,84.22,Social Security,Credit Card,Other,Clothing Boutique,delhi,1235808.8,Credit
2022-05-10,993.57,Part-Time Work,Credit Card,Business,Electronics Store,thane,1236802.37,Credit
2022-05-10,255.81,Personal Care,Debit Card,None,Gym Membership,mumbai,1236546.56,Debit
2022-05-10,442.91,Part-Time Work,Cash,Business,Travel Agency,solapur,1236989.46,Credit
2022-05-10,975.33,Pension Plans,Cash,Salary,Grocery Store,thane,1237964.8,Credit
2022-05-10,200.78,Personal Care,Prepaid Debit Cards,None,ATM Withdrawal,mumbai,1237764.02,Debit
2022-05-11,717.02,Part-Time Work,UPI,Other,Electronics Store,satara,1238481.03,Credit
2022-05-11,719.65,Social Security,UPI,Salary,Clothing Boutique,satara,1239200.68,Credit
2022-05-11,652.21,Social Security,Credit Card,Investments,Restaurant,pune,1239852.9,Credit
2022-05-11,709.75,Part-Time Work,Credit Card,Business,Grocery Store,thane,1240562.65,Credit
2022-05-11,678.85,Savings and Investments,Credit Card,Other,Subscription Service,mumbai,1241241.5,Credit
2022-05-12,231.43,Charitable Donations,Prepaid Debit Cards,None,Gym Membership,thane,1241010.07,Debit
2022-05-12,210.39,Annuities,UPI,Business,Subscription Service,nagpur,1241220.45,Credit
2022-05-12,11.69,Savings and Investments,Credit Card,Salary,Subscription Service,thane,1241232.15,Credit
2022-05-12,806.21,Savings and Investments,UPI,Salary,Electronics Store,solapur,1242038.35,Credit
2022-05-12,995.22,Miscellaneous Expenses,Online Banking,None,Car Repair Shop,delhi,1241043.13,Debit
2022-05-13,711.62,Consulting or Freelancing,UPI,Salary,Restaurant,mumbai,1241754.76,Credit
2022-05-13,686.05,Miscellaneous Expenses,Mobile Payments,None,ATM Withdrawal,solapur,1241068.7,Debit
2022-05-13,801.44,Entertainment and Leisure,Debit Card,None,ATM Withdrawal,mumbai,1240267.27,Debit
2022-05-13,459.3,Personal Care,Debit Card,None,Local Farmers' Market,delhi,1239807.97,Debit
2022-05-13,300.79,Taxes,Debit Card,None,Car Repair Shop,delhi,1239507.17,Debit
2022-05-13,894.35,Debt Payments,Online Banking,None,Rent Payment,mumbai,1238612.82,Debit
2022-05-14,197.66,Part-Time Work,UPI,Business,Utility Company,delhi,1238810.48,Credit
2022-05-14,828.96,Annuities,UPI,Salary,Subscription Service,thane,1239639.44,Credit
2022-05-14,169.72,Consulting or Freelancing,Credit Card,Business,Grocery Store,mumbai,1239809.16,Credit
2022-05-14,878.22,Pension Plans,Cash,Investments,Restaurant,nagpur,1240687.38,Credit
2022-05-14,703.45,Pension Plans,Credit Card,Business,Healthcare Provider,thane,1241390.83,Credit
2022-05-14,844.96,Miscellaneous Expenses,Prepaid Debit Cards,None,Rent Payment,pune,1240545.87,Debit
2022-05-15,49.12,Consulting or Freelancing,UPI,Other,Travel Agency,satara,1240594.99,Credit
2022-05-15,296.76,Savings and Investments,Cash,Other,Subscription Service,pune,1240891.75,Credit
2022-05-16,72.73,Charitable Donations,Debit Card,None,Coffee Shop,delhi,1240819.02,Debit
2022-05-16,393.44,Savings and Investments,Credit Card,Investments,Travel Agency,thane,1241212.46,Credit
2022-05-17,293.78,Consulting or Freelancing,UPI,Business,Electronics Store,satara,1241506.24,Credit
2022-05-17,610.33,Entertainment and Leisure,Debit Card,None,Car Repair Shop,delhi,1240895.91,Debit
2022-05-17,777.32,Savings and Investments,Credit Card,Salary,Gas Station,delhi,1241673.23,Credit
2022-05-18,632.72,Taxes,Prepaid Debit Cards,None,Car Repair Shop,nagpur,1241040.52,Debit
2022-05-18,141.39,Part-Time Work,UPI,Business,Healthcare Provider,solapur,1241181.9,Credit
2022-05-18,766.0,Debt Payments,Online Banking,None,Gym Membership,thane,1240415.9,Debit
2022-05-19,337.0,Miscellaneous Expenses,Checks,None,Gym Membership,pune,1240078.9,Debit
2022-05-19,635.42,Debt Payments,Checks,None,Coffee Shop,satara,1239443.48,Debit
2022-05-19,180.01,Annuities,UPI,Business,Subscription Service,satara,1239623.49,Credit
2022-05-19,621.38,Consulting or Freelancing,Credit Card,Business,Healthcare Provider,solapur,1240244.87,Credit
2022-05-20,371.83,Entertainment and Leisure,Mobile Payments,None,Taxi Service,solapur,1239873.04,Debit
2022-05-20,400.86,Part-Time Work,Credit Card,Investments,Gas Station,thane,1240273.9,Credit
2022-05-20,186.07,Consulting or Freelancing,Credit Card,Business,Gas Station,solapur,1240459.97,Credit
2022-05-21,886.55,Entertainment and Leisure,Checks,None,Gym Membership,solapur,1239573.42,Debit
2022-05-21,942.72,Consulting or Freelancing,Cash,Salary,Utility Company,mumbai,1240516.14,Credit
2022-05-21,454.66,Annuities,UPI,Other,Utility Company,satara,1240970.8,Credit
2022-05-21,322.32,Miscellaneous Expenses,Checks,None,Coffee Shop,satara,1240648.48,Debit
2022-05-22,357.54,Social Security,UPI,Salary,Grocery Store,mumbai,1241006.02,Credit
2022-05-22,416.49,Part-Time Work,UPI,Salary,Grocery Store,thane,1241422.51,Credit
2022-05-22,125.0,Savings and Investments,Cash,Investments,Clothing Boutique,solapur,1241547.51,Credit
2022-05-22,647.72,Pension Plans,UPI,Investments,Healthcare Provider,mumbai,1242195.22,Credit
2022-05-23,234.91,Part-Time Work,Credit Card,Investments,Gas Station,thane,1242430.13,Credit
2022-05-23,293.59,Social Security,Credit Card,Investments,Electronics Store,nagpur,1242723.72,Credit
2022-05-24,312.22,Taxes,Mobile Payments,None,Taxi Service,satara,1242411.51,Debit
2022-05-24,635.12,Annuities,Credit Card,Business,Healthcare Provider,thane,1243046.63,Credit
2022-05-24,503.9,Miscellaneous Expenses,Mobile Payments,None,ATM Withdrawal,mumbai,1242542.73,Debit
2022-05-24,831.18,Personal Care,Prepaid Debit Cards,None,Taxi Service,satara,1241711.55,Debit
2022-05-25,485.07,Savings and Investments,Credit Card,Salary,Healthcare Provider,nagpur,1242196.62,Credit
