Transaction_Date,Transaction_Amount,Transaction_Category,Transaction_Type,Income_source,Merchant,Location,Current_Amount,Credit/Debit
01-01-2022,770.76,Pension Plans,Online Banking,Salary,Utility Company,pune,1245770.76,Credit
01-01-2022,773.32,Savings and Investments,Online Banking,Salary,Utility Company,pune,1246544.08,Credit
01-01-2022,614.29,Taxes,Prepaid Debit Cards,None,Local Farmers' Market,solapur,1245929.79,Debit
01-01-2022,385.51,Part-Time Work,Prepaid Debit Cards,Investments,Healthcare Provider,mumbai,1246315.3,Credit
01-01-2022,506.75,Consulting or Freelancing,Prepaid Debit Cards,Business,Restaurant,mumbai,1246822.04,Credit
01-01-2022,545.22,Part-Time Work,Prepaid Debit Cards,Business,Travel Agency,satara,1247367.27,Credit
02-01-2022,317.84,Consulting or Freelancing,Prepaid Debit Cards,Salary,Restaurant,mumbai,1247685.11,Credit
02-01-2022,537.55,Part-Time Work,Prepaid Debit Cards,Investments,Subscription Service,pune,1248222.66,Credit
02-01-2022,596.4,Taxes,Mobile Payments,None,Car Repair Shop,delhi,1247626.26,Debit
02-01-2022,354.91,Consulting or Freelancing,Mobile Payments,Business,Clothing Boutique,delhi,1247981.17,Credit
02-01-2022,723.17,Miscellaneous Expenses,Debit Card,None,Car Repair Shop,solapur,1247258,Debit
03-01-2022,948.08,Insurance,Online Banking,None,Taxi Service,mumbai,1246309.92,Debit
03-01-2022,346.62,Taxes,Checks,None,Local Farmers' Market,solapur,1245963.3,Debit
04-01-2022,668.13,Social Security,Checks,Salary,Grocery Store,mumbai,1246631.43,Credit
04-01-2022,239.18,Pension Plans,Checks,Investments,Utility Company,delhi,1246870.61,Credit
04-01-2022,185.92,Social Security,Checks,Other,Restaurant,pune,1247056.53,Credit
04-01-2022,793.24,Insurance,Checks,None,Coffee Shop,solapur,1246263.29,Debit
04-01-2022,700.98,Part-Time Work,Checks,Business,Healthcare Provider,thane,1246964.28,Credit
05-01-2022,896.1,Social Security,Checks,Other,Subscription Service,delhi,1247860.37,Credit
05-01-2022,851.62,Miscellaneous Expenses,Prepaid Debit Cards,None,Gym Membership,nagpur,1247008.76,Debit
05-01-2022,320.17,Pension Plans,Prepaid Debit Cards,Other,Travel Agency,pune,1247328.93,Credit
05-01-2022,297.53,Social Security,Prepaid Debit Cards,Other,Healthcare Provider,pune,1247626.46,Credit
06-01-2022,313.17,Charitable Donations,Checks,None,Bookstore,nagpur,1247313.29,Debit
06-01-2022,148.74,Consulting or Freelancing,Checks,Other,Clothing Boutique,mumbai,1247462.03,Credit
06-01-2022,943.67,Personal Care,Debit Card,None,Rent Payment,pune,1246518.36,Debit
06-01-2022,20.87,Pension Plans,Debit Card,Other,Clothing Boutique,thane,1246539.23,Credit
07-01-2022,320.75,Annuities,Debit Card,Investments,Utility Company,delhi,1246859.98,Credit
07-01-2022,271.76,Savings and Investments,Debit Card,Other,Subscription Service,thane,1247131.74,Credit
07-01-2022,174.97,Miscellaneous Expenses,Prepaid Debit Cards,None,Coffee Shop,thane,1246956.77,Debit
07-01-2022,121.77,Consulting or Freelancing,Prepaid Debit Cards,Investments,Restaurant,thane,1247078.55,Credit
07-01-2022,514.69,Charitable Donations,Prepaid Debit Cards,None,Bookstore,thane,1246563.85,Debit
07-01-2022,682.12,Annuities,Prepaid Debit Cards,Salary,Electronics Store,solapur,1247245.98,Credit
08-01-2022,656.16,Savings and Investments,Prepaid Debit Cards,Other,Utility Company,satara,1247902.14,Credit
08-01-2022,115.6,Pension Plans,Prepaid Debit Cards,Other,Gas Station,nagpur,1248017.73,Credit
09-01-2022,104.75,Insurance,Prepaid Debit Cards,None,Taxi Service,solapur,1247912.99,Debit
09-01-2022,594.98,Miscellaneous Expenses,Mobile Payments,None,Coffee Shop,thane,1247318,Debit
09-01-2022,90.04,Insurance,Online Banking,None,Rent Payment,delhi,1247227.96,Debit
09-01-2022,147.53,Part-Time Work,Online Banking,Investments,Utility Company,satara,1247375.49,Credit
09-01-2022,919.95,Entertainment and Leisure,Debit Card,None,ATM Withdrawal,nagpur,1246455.54,Debit
09-01-2022,373.01,Entertainment and Leisure,Online Banking,None,Bookstore,pune,1246082.53,Debit
10-01-2022,879.03,Personal Care,Mobile Payments,None,Gym Membership,satara,1245203.5,Debit
10-01-2022,115.89,Personal Care,Checks,None,Bookstore,delhi,1245087.61,Debit
11-01-2022,97.08,Consulting or Freelancing,Checks,Salary,Restaurant,solapur,1245184.7,Credit
11-01-2022,198.39,Savings and Investments,Checks,Business,Healthcare Provider,satara,1245383.09,Credit
11-01-2022,540.5,Consulting or Freelancing,Checks,Investments,Subscription Service,thane,1245923.59,Credit
12-01-2022,955.83,Social Security,Checks,Investments,Healthcare Provider,thane,1246879.41,Credit
12-01-2022,525.63,Personal Care,Mobile Payments,None,Taxi Service,delhi,1246353.78,Debit
12-01-2022,59.65,Entertainment and Leisure,Prepaid Debit Cards,None,Taxi Service,mumbai,1246294.13,Debit
13-01-2022,97.36,Entertainment and Leisure,Checks,None,Taxi Service,pune,1246196.77,Debit
13-01-2022,635.37,Insurance,Mobile Payments,None,Bookstore,satara,1245561.4,Debit
13-01-2022,795.57,Consulting or Freelancing,Mobile Payments,Business,Clothing Boutique,satara,1246356.96,Credit
13-01-2022,910.32,Consulting or Freelancing,Mobile Payments,Salary,Grocery Store,pune,1247267.28,Credit
13-01-2022,203.37,Part-Time Work,Mobile Payments,Salary,Gas Station,delhi,1247470.65,Credit
13-01-2022,240.9,Savings and Investments,Mobile Payments,Investments,Restaurant,mumbai,1247711.55,Credit
14-01-2022,558.17,Charitable Donations,Prepaid Debit Cards,None,Gym Membership,mumbai,1247153.38,Debit
14-01-2022,678.46,Insurance,Online Banking,None,Local Farmers' Market,solapur,1246474.92,Debit
14-01-2022,549.03,Personal Care,Online Banking,None,Gym Membership,solapur,1245925.9,Debit
14-01-2022,639.38,Annuities,Online Banking,Salary,Grocery Store,thane,1246565.28,Credit
14-01-2022,302.83,Annuities,Online Banking,Salary,Electronics Store,satara,1246868.11,Credit
14-01-2022,331.76,Insurance,Mobile Payments,None,Taxi Service,nagpur,1246536.34,Debit
15-01-2022,95.27,Insurance,Debit Card,None,ATM Withdrawal,nagpur,1246441.08,Debit
15-01-2022,243.17,Debt Payments,Debit Card,None,Taxi Service,delhi,1246197.9,Debit
15-01-2022,472.79,Entertainment and Leisure,Online Banking,None,ATM Withdrawal,nagpur,1245725.12,Debit
16-01-2022,560.74,Miscellaneous Expenses,Mobile Payments,None,Coffee Shop,nagpur,1245164.38,Debit
16-01-2022,885.51,Insurance,Prepaid Debit Cards,None,Car Repair Shop,mumbai,1244278.87,Debit
16-01-2022,734.77,Social Security,Prepaid Debit Cards,Investments,Restaurant,thane,1245013.63,Credit
16-01-2022,759.55,Savings and Investments,Prepaid Debit Cards,Other,Travel Agency,satara,1245773.18,Credit
16-01-2022,311.31,Annuities,Prepaid Debit Cards,Salary,Restaurant,solapur,1246084.49,Credit
16-01-2022,657.2,Annuities,Prepaid Debit Cards,Salary,Grocery Store,pune,1246741.7,Credit
17-01-2022,632.04,Insurance,Checks,None,Car Repair Shop,solapur,1246109.65,Debit
17-01-2022,134.03,Personal Care,Mobile Payments,None,Local Farmers' Market,thane,1245975.62,Debit
